dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.744710,2.856175,4.284823,0.865524,-1.851006,-0.147557,1.535876
0.020000,2.745262,2.872735,4.301392,0.828458,-1.853276,-0.113514,1.539042
0.020000,2.745741,2.888555,4.317218,0.791334,-1.856193,-0.145835,1.542038
0.020000,2.746153,2.903631,4.332300,0.754095,-1.861967,-0.288686,1.544869
0.020000,2.746506,2.917964,4.346638,0.716866,-1.861446,0.026011,1.547537
0.020000,2.746805,2.931552,4.360229,0.679558,-1.865406,-0.197999,1.550047
0.020000,2.747056,2.944394,4.373073,0.642233,-1.866238,-0.041567,1.552402
0.020000,2.747265,2.956488,4.385170,0.604815,-1.870921,-0.234142,1.554604
0.020000,2.747437,2.967835,4.396517,0.567379,-1.871782,-0.043078,1.556657
0.020000,2.747577,2.978432,4.407115,0.529900,-1.873975,-0.109653,1.558562
0.020000,2.747689,2.988279,4.416963,0.492372,-1.876395,-0.121008,1.560322
0.020000,2.747777,2.997375,4.426060,0.454860,-1.875585,0.040499,1.561940
0.020000,2.747845,3.005721,4.434405,0.417273,-1.879343,-0.187870,1.563417
0.020000,2.747896,3.013315,4.442000,0.379713,-1.878029,0.065668,1.564755
0.020000,2.747933,3.020155,4.448840,0.342039,-1.883694,-0.283223,1.565956
0.020000,2.747959,3.026243,4.454929,0.304411,-1.881389,0.115249,1.567020
0.020000,2.747977,3.031579,4.460264,0.266759,-1.882582,-0.059641,1.567950
0.020000,2.747988,3.036160,4.464846,0.229087,-1.883629,-0.052358,1.568747
0.020000,2.747994,3.039987,4.468673,0.191352,-1.886745,-0.155827,1.569411
0.020000,2.747998,3.043061,4.471746,0.153690,-1.883066,0.183975,1.569943
0.020000,2.747999,3.045380,4.474065,0.115942,-1.887418,-0.217588,1.570344
0.020000,2.748000,3.046945,4.475630,0.078252,-1.884489,0.146453,1.570614
0.020000,2.748000,3.047756,4.476441,0.040527,-1.886255,-0.088314,1.570754
0.020000,2.748000,3.047986,4.476671,0.011525,-1.450122,21.806653,1.570794
0.020000,2.748000,3.048000,4.476685,0.000696,-0.541442,45.434019,1.570796
0.020000,2.748000,3.048000,4.476685,0.000000,-0.034800,25.332084,1.570796
