dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.104209,1.512232,3.856036,2.680346,-2.456526,-29.089860,1.213851
0.020000,3.122185,1.561680,3.908650,2.630731,-2.480746,-1.210987,1.230310
0.020000,3.139040,1.610480,3.960279,2.581415,-2.465799,0.747354,1.246126
0.020000,3.154830,1.658603,4.010926,2.532383,-2.451588,0.710535,1.261319
0.020000,3.169612,1.706027,4.060600,2.483708,-2.433769,0.890966,1.275911
0.020000,3.183439,1.752729,4.109306,2.435296,-2.420571,0.659908,1.289923
0.020000,3.196364,1.798691,4.157051,2.387237,-2.402955,0.880795,1.303375
0.020000,3.208435,1.843896,4.203840,2.339453,-2.389219,0.686781,1.316289
0.020000,3.219700,1.888331,4.249681,2.292047,-2.370299,0.946042,1.328685
0.020000,3.230204,1.931982,4.294578,2.244861,-2.359321,0.548887,1.340583
0.020000,3.239990,1.974840,4.338538,2.198009,-2.342565,0.837792,1.352001
0.020000,3.249098,2.016893,4.381567,2.151418,-2.329562,0.650133,1.362960
0.020000,3.257568,2.058134,4.423669,2.105100,-2.315892,0.683527,1.373477
0.020000,3.265437,2.098557,4.464850,2.059071,-2.301465,0.721357,1.383570
0.020000,3.272739,2.138155,4.505116,2.013280,-2.289534,0.596529,1.393254
0.020000,3.279509,2.176922,4.544470,1.967709,-2.278572,0.548116,1.402548
0.020000,3.285778,2.214855,4.582918,1.922377,-2.266583,0.599434,1.411465
0.020000,3.291576,2.251951,4.620464,1.877306,-2.253559,0.651190,1.420020
0.020000,3.296931,2.288205,4.657111,1.832371,-2.246754,0.340259,1.428228
0.020000,3.301872,2.323616,4.692865,1.787702,-2.233442,0.665583,1.436102
0.020000,3.306422,2.358182,4.727729,1.743196,-2.225284,0.407943,1.443655
0.020000,3.310608,2.391900,4.761706,1.698872,-2.216210,0.453658,1.450898
0.020000,3.314452,2.424771,4.794801,1.654748,-2.206218,0.499611,1.457844
0.020000,3.317977,2.456792,4.827016,1.610724,-2.201208,0.250495,1.464503
0.020000,3.321202,2.487965,4.858355,1.566935,-2.189445,0.588162,1.470885
0.020000,3.324147,2.518287,4.888819,1.523245,-2.184510,0.246726,1.477001
0.020000,3.326833,2.547759,4.918413,1.479690,-2.177707,0.340187,1.482860
0.020000,3.329275,2.576380,4.947138,1.436259,-2.171580,0.306320,1.488470
0.020000,3.331491,2.604151,4.974998,1.392987,-2.163585,0.399789,1.493840
0.020000,3.333497,2.631074,5.001995,1.349853,-2.156708,0.343840,1.498977
0.020000,3.335309,2.657146,5.028131,1.306770,-2.154157,0.127516,1.503890
0.020000,3.336939,2.682370,5.053407,1.263821,-2.147429,0.336415,1.508586
0.020000,3.338403,2.706746,5.077827,1.220985,-2.141825,0.280222,1.513070
0.020000,3.339712,2.730274,5.101392,1.178242,-2.137127,0.234897,1.517350
0.020000,3.340879,2.752956,5.124103,1.135585,-2.132846,0.214038,1.521431
0.020000,3.341915,2.774791,5.145963,1.092965,-2.131015,0.091525,1.525319
0.020000,3.342831,2.795781,5.166973,1.050515,-2.122514,0.425054,1.529019
0.020000,3.343638,2.815926,5.187134,1.008068,-2.122330,0.009231,1.532537
0.020000,3.344344,2.835227,5.206448,0.965705,-2.118167,0.208135,1.535876
0.020000,3.344960,2.853686,5.224917,0.923431,-2.113695,0.223581,1.539042
0.020000,3.345493,2.871302,5.242541,0.881223,-2.110375,0.166018,1.542038
0.020000,3.345952,2.888076,5.259322,0.839010,-2.110642,-0.013335,1.544869
0.020000,3.346343,2.904010,5.275260,0.796925,-2.104296,0.317288,1.547537
0.020000,3.346676,2.919103,5.290357,0.754858,-2.103313,0.049156,1.550047
0.020000,3.346955,2.933358,5.304615,0.712874,-2.099215,0.204903,1.552402
0.020000,3.347187,2.946774,5.318032,0.670879,-2.099740,-0.026251,1.554604
0.020000,3.347377,2.959351,5.330611,0.628952,-2.096358,0.169095,1.556657
0.020000,3.347532,2.971091,5.342353,0.587056,-2.094777,0.079037,1.558562
0.020000,3.347656,2.981994,5.353256,0.545181,-2.093759,0.050890,1.560322
0.020000,3.347753,2.992062,5.363324,0.503392,-2.089469,0.214542,1.561940
0.020000,3.347828,3.001293,5.372556,0.461581,-2.090527,-0.052924,1.563417
0.020000,3.347885,3.009690,5.380953,0.419856,-2.086260,0.213347,1.564755
0.020000,3.347926,3.017251,5.388514,0.378056,-2.089986,-0.186298,1.565956
0.020000,3.347955,3.023978,5.395241,0.336353,-2.085172,0.240730,1.567020
0.020000,3.347974,3.029871,5.401134,0.294663,-2.084489,0.034107,1.567950
0.020000,3.347987,3.034931,5.406194,0.252985,-2.083905,0.029213,1.568747
0.020000,3.347994,3.039156,5.410419,0.211268,-2.085860,-0.097726,1.569411
0.020000,3.347998,3.042549,5.413812,0.169657,-2.080562,0.264903,1.569943
0.020000,3.347999,3.045109,5.416372,0.127969,-2.084378,-0.190798,1.570344
0.020000,3.348000,3.046836,5.418099,0.086361,-2.080401,0.198806,1.570614
0.020000,3.348000,3.047730,5.418994,0.044724,-2.081851,-0.072463,1.570754
0.020000,3.348000,3.047985,5.419248,0.012718,-1.600308,24.077132,1.570794
0.020000,3.348000,3.048000,5.419263,0.000768,-0.597496,50.140626,1.570796
0.020000,3.348000,3.048000,5.419263,0.000000,-0.038402,27.954661,1.570796
